Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.555926187635155,-0.107150073903112,0.00613742105504832,0,0,0,152.887578230505,11.7775480709916,-1.4306831755556E-07,-0.000210573790101669,22.1965870841863,-1.85714537732484E-09,20.3629245361025,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/base_link.STL,,mount_assembly-1;kinect_mount-1;kinect_mount-4;kinect_mount_l-1;kinect_mount_l-2;bearing_mount-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
kinect_1,-0.0068373,0.0042244,0.031821,0,0,0,0.65867,0.00026965,9.3546E-07,-4.3635E-08,0.0029864,5.7148E-06,0.0031114,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_1.STL,,Kinect-1,Origin_f1,,f1,fixed,0.62437,-0.439,0.79316,1.023,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
kinect_2,-0.00683731306927218,0.0318980412978965,0.00359936564117103,0,0,0,0.658667040657649,0.000269654953194106,1.83994239740207E-07,-9.18232825990691E-07,0.00310673761326781,2.42882683483155E-05,0.00299103240671304,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_2.STL,,Kinect-2,Origin_f2,Axis_f2,f2,fixed,-0.153875025183943,-0.0313674139574302,0.786002895607127,2.23402144255273,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
kinect_3,-0.00683731408661981,0.00422438875735742,0.0318212943190294,0,0,0,0.658667014103996,0.000269654907378906,9.35457020504485E-07,-4.36353832367267E-08,0.00298640106244888,5.71483934992754E-06,0.00311136802875618,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_3.STL,,Kinect-3,Origin_f3,Axis_f3,f3,fixed,0.631632586042565,0.428002407592906,0.793156716947356,1.02296976618809,0,0,base_link,0,0,0,,,,,,,,,,,,
kinect_4,-0.00683731272631807,0.00422438560085237,0.0318212985694526,0,0,0,0.658667040657649,0.000269654953213439,9.35502685517322E-07,-4.35856875964107E-08,0.00298640154185902,5.71488399130886E-06,0.00311136847809632,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/kinect_4.STL,,Kinect-4,Origin_f4,,f4,fixed,1.2589,0.021367,0.786,0.90757,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
link_1,-0.0304469285667581,0.0892476159291856,-5.3816924209249E-06,0,0,0,2.23340018577892,0.00566945513380893,0.000548940397930336,4.69021533629414E-08,0.00570021617187052,-6.28193069104502E-07,0.00782054334841233,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_1.STL,,link_m1-1,Origin_q1,Axis_q1,q1,continuous,0,-0.2219,0.485,0,0.43633,-3.1416,base_link,0,1,0,,,,,,,,,,,,
link_2,0.120800685685584,-1.87317178082513E-05,-0.0224099920566851,0,0,0,1.92881777954529,0.00432935683532361,-8.19863395767092E-07,-0.00236963686501402,0.00876077277547781,1.9498700699253E-06,0.00747131884327465,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_2.STL,,link_m2-1,Origin_q2,Axis_q2,q2,continuous,0,0.12,0,1.5708,1.3614,-1.5708,link_1,0,0,1,,,,,,,,,,,,
link_3,-0.0304727030504932,0.0798097773145121,-4.54700305879685E-07,0,0,0,2.23339227122614,0.0056694069092116,0.000548621050158344,-4.0199194168344E-07,0.00569976097671276,1.28136156341582E-07,0.00782012792128964,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_3.STL,,link_m3-1,Origin_q3,Axis_q3,q3,continuous,0.24634,0,-0.0019,0,-1.2043,-1.5708,link_2,0,1,0,,,,,,,,,,,,
link_4,0.121311474433556,-2.42664286446703E-05,-0.0229247482550313,0,0,0,1.88162319757345,0.00429629613646708,-1.86119691559353E-06,-0.00236854550056609,0.00873964268218225,1.71254281204352E-06,0.0074500884956848,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_4.STL,,link_m4-1,Origin_q4,Axis_q4,q4,continuous,0,0.11056,0,-1.5708,-1.2217,1.5708,link_3,0,0,1,,,,,,,,,,,,
link_5,-0.0293834311417498,0.0649543398113324,-2.43673955158119E-06,0,0,0,2.18618019966333,0.00563641046291939,0.000550704452787192,-4.91935204069312E-08,0.00568219822096579,6.80370072552111E-08,0.00780186592819397,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_table_setup_home_g1/meshes/link_5.STL,,link_m5-1,Origin_q5,Axis_q5,q5,continuous,0.26067,0,-0.0019,-3.1416,-0.34907,1.5708,link_4,0,1,0,,,,,,,,,,,,
